"ID","Length","Denticles","Three_phase_assignment"
"SP_LI_LI-8_71",361.465717271863,6,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_72",290.818133092167,7,"Phase 1: early juvenile"
"SP_LI_LI-8_73",386.281526704702,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_75",366.409535722456,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_76",375.375640502298,8,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_77",353.877939510071,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_78",291.927495481061,6,"Phase 1: early juvenile"
"SP_LI_LI-8_79",301.910945433902,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_8",392.11465415967,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_80",360.069170496651,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_81",344.829694308813,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_82",366.502177087313,6,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_83",285.387772361026,7,"Phase 1: early juvenile"
"SP_LI_LI-8_84",404.424754076353,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_85",351.766964905997,8,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_86",440.768236811336,8,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_88",285.149366911486,6,"Phase 1: early juvenile"
"SP_LI_LI-8_89",372.198093350837,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_9",381.249185487986,8,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_90",360.170844752485,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_91",335.31033966127,8,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_92",399.269768068355,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_93",288.431797854138,6,"Phase 1: early juvenile"
"SP_LI_LI-8_94",351.537924310938,6,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_96",342.504951364972,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_97",389.928406914091,8,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_98",308.422543879726,7,"Phase 2: late juvenile / subadult"
"SP_LI_LI-8_99",334.312768988892,7,"Phase 2: late juvenile / subadult"
