"Model","Breakpoint","Length","Denticles","Standard_error","CI_95_lower","CI_95_upper"
"Broken-stick: 3 lines",1,297.861612018532,6.77504308040102,18.7345553703411,261.142558226292,334.580665810772
"Broken-stick: 3 lines",2,532.173874731286,9.11907405528489,34.8242919341015,463.919516753339,600.428232709234
