PR1, 0.3166666666666673
PR2, 3.108333333333331
PR3, 4.324999999999997
PR4, 5.183333333333328
PR5, 6.243333333333329
PR7, 7.103333333333327
PR8, 7.573333333333326
PR9, 7.873333333333326
PR10, 8.313333333333325
PR11, 8.573333333333323
PR12, 9.413333333333323
PR13, 9.923333333333323
PR14, 10.503333333333323
PR15, 11.40333333333332
PR16, 12.13333333333332
PR17, 12.783333333333319
PR18, 13.193333333333317
PR19, 13.973333333333317
PR20, 14.773333333333316
PR21, 16.043333333333315
PR22, 16.643333333333313
PR23, 18.60333333333331
PR24, 19.103333333333314
