"","logL","K","AICc","dAICc","Akaike.wt"
"StrictStasis",-53.034043109088,1,108.375778525868,164.50312375755,0
"Stasis",25.5849475784519,2,-46.1698951569039,9.95745007477782,0.005
"URW",26.3452055821019,1,-50.3827188565115,5.74462637517018,0.043
"GRW",26.440020022958,2,-47.8800400459161,8.24730518576563,0.012
"Punc-1",34.0636726158408,4,-56.1273452316817,0,0.756
"Stasis-URW",29.3340071138422,4,-46.6680142276844,9.45933100399726,0.007
"Stasis-GRW",29.3340208497942,5,-42.0013750329217,14.12597019876,0.001
"URW-Stasis",32.518754337654,4,-53.037508675308,3.08983655637373,0.161
"GRW-Stasis",32.5206858497462,5,-48.3747050328258,7.75264019885588,0.016
