"Model","Segment","Intercept","Slope"
"Broken-stick: 3 lines","Line 1",-0.0586100560320579,0.0229423761260243
"Broken-stick: 3 lines","Line 2",3.79527225356978,0.0100038766547931
"Broken-stick: 3 lines","Line 3",8.76800487000462,0.000659688876041762
