"Model","N","K","logLik","AIC","AICc","BIC","RMSE","R_squared","Delta_AIC","AIC_weight","Delta_AICc","AICc_weight","Delta_BIC"
"Broken-stick: 3 lines",374,7,-500.241854836939,1014.48370967388,1014.78972060284,1041.95350025578,0.921830910223643,0.432508772708094,0,0.80376258679151,0,0.792115759521519,4.99774479237249
"Broken-stick: 2 lines",374,5,-503.667238238168,1017.33447647634,1017.4975199546,1036.95575546341,0.930312537327829,0.422017929083916,2.85076680245663,0.193237602794878,2.70779935175574,0.204549063550293,0
"Linear",374,3,-509.832609681243,1025.66521936249,1025.73008422735,1037.43798675473,0.945775798712809,0.402644299153023,11.181509688607,0.00299981041361184,10.94036362451,0.00333517692818842,0.482231291321341
