"","logL","K","AICc","dAICc","Akaike.wt"
"StrictStasis",-59.7604275030082,1,121.828547313709,177.95511541853,0
"Stasis",25.5423026686953,2,-46.0846053373906,10.0419627674311,0.005
"URW",26.365037489632,1,-50.4223826715717,5.70418543324995,0.043
"GRW",26.4604134433299,2,-47.9208268866598,8.20574121816185,0.012
"Punc-1",34.0632840524108,4,-56.1265681048217,0,0.753
"Stasis-URW",29.3552612269397,4,-46.7105224538793,9.41604565094237,0.007
"Stasis-GRW",29.3552614500349,5,-42.0438562334031,14.0827118714186,0.001
"URW-Stasis",32.5327169800915,4,-53.0654339601829,3.06113414463876,0.163
"GRW-Stasis",32.5349146537732,5,-48.4031626408798,7.72340546394189,0.016
